model,spearman_mean,spearman_std,r2_mean,r2_std,pearson_mean,rmse_mean,cv_auroc
RF,0.556923076923077,0.15915244662889352,0.503990106927491,0.11408532454257347,0.7341082531720391,0.34799880560829416,0.7542857142857142
Stack,0.5551648351648352,0.16606777234452216,0.4494100120341198,0.15347548175151893,0.7131529547139268,0.3655566417856337,0.7624489795918368
LGBM,0.5240902488393528,0.16258522178793464,0.36420752173703796,0.23692823118292353,0.646775185279757,0.3881790058069942,0.7159183673469387
XGB,0.4734065934065934,0.1361757957987754,0.4905492146297454,0.16049177150374985,0.7263454968205991,0.34909220956119447,0.7036734693877551
Ridge,0.41802197802197805,0.23300186345474763,0.2538501211308189,0.15589373786601288,0.6156680550865562,0.4275925364011003,0.710204081632653
