group,n_removed,sp_without,sp_std_without,r2_without,r2_std_without,delta_sp,delta_r2,auroc_without,delta_auroc
AlphaMissense,4,-0.037362637362637355,0.27157579314758723,-0.015561879579164706,0.09257014657146559,0.5942857142857143,0.5195519865066557,0.6666666666666666,0.3281250000000001
Engineered,3,0.49098901098901104,0.19828804800563812,0.399130644697754,0.12274599121206442,0.06593406593406592,0.10485946222973702,0.9861111111111112,0.00868055555555558
Evolutionary,3,0.5156043956043956,0.1511065332737786,0.47037427890008143,0.14509253019273793,0.04131868131868133,0.03361582802740959,0.9947916666666667,0.0
Structural,10,0.5586813186813188,0.12880245984685673,0.4993336871334891,0.1282892792681496,-0.0017582417582417964,0.0046564197940019425,0.9965277777777778,-0.0017361111111110494
Biochemical,9,0.5964835164835165,0.15189723167079938,0.5372568860300339,0.1316399483597649,-0.03956043956043953,-0.03326677910254283,0.9913194444444444,0.003472222222222321
