ablation,model,n_features,cv_auroc_mean,cv_auroc_std,cv_ap_mean,cv_ap_std,cv_rmse_mean,cv_rmse_std,test_auroc,mean_pred_std,ci_coverage,strategy,removed_feature,removed_feature_group
drop_feat_alphamissense_score,linear_regression,21,0.7474333983105913,0.06725934041173279,0.692472982527162,0.09954985866159959,0.05159433418329716,0.003912118947885036,0.7753623188405797,0.6050937585137487,1.0,leave_one_feature_out,alphamissense_score,alphamissense
drop_feat_alphamissense_score,random_forest,21,0.7729694606887589,0.007068498377373537,0.6775264553958411,0.034061961308066616,0.051906636647668945,0.0055897181787505105,0.7355072463768116,0.3116900282727179,1.0,leave_one_feature_out,alphamissense_score,alphamissense
drop_feat_alphamissense_score,xgboost,21,0.7029239766081872,0.058915994506626476,0.6288581489237925,0.08925417368897717,0.057404230483245944,0.008394802677273926,0.7427536231884058,0.11479729914420714,1.0,leave_one_feature_out,alphamissense_score,alphamissense
drop_feat_ca_rmsd,linear_regression,21,0.8474333983105913,0.07437855640943651,0.7593510665652049,0.13888627114280053,0.04533522538382073,0.002899770213295328,0.7934782608695652,0.5182724533315374,1.0,leave_one_feature_out,ca_rmsd,global_structural
drop_feat_ca_rmsd,random_forest,21,0.833398310591293,0.08165172643729479,0.7417684737194541,0.11450974017840383,0.04975740068626564,0.005490933742644086,0.75,0.26333230263647667,1.0,leave_one_feature_out,ca_rmsd,global_structural
drop_feat_ca_rmsd,xgboost,21,0.8433398310591294,0.07897113635861917,0.7639405003703249,0.13762325174037465,0.050998043144244054,0.007420867016659309,0.7717391304347827,0.09391259852518394,1.0,leave_one_feature_out,ca_rmsd,global_structural
drop_feat_backbone_rmsd,linear_regression,21,0.8486679662118259,0.0746971164439981,0.7617320189461573,0.13858334386334628,0.0452633967700561,0.002867771949593724,0.7862318840579711,0.5179811971821365,1.0,leave_one_feature_out,backbone_rmsd,global_structural
drop_feat_backbone_rmsd,random_forest,21,0.842040285899935,0.07797823242298875,0.7519080193589998,0.11367483794821362,0.04984804435354158,0.005561665005830877,0.7210144927536232,0.26235610789887814,1.0,leave_one_feature_out,backbone_rmsd,global_structural
drop_feat_backbone_rmsd,xgboost,21,0.833398310591293,0.09042079823758448,0.7616261378675566,0.1375457842438612,0.050642703024829296,0.007488574871900384,0.7608695652173914,0.09032876750004004,1.0,leave_one_feature_out,backbone_rmsd,global_structural
drop_feat_plddt,linear_regression,21,0.8499025341130604,0.07866408878745056,0.7615822014433986,0.14031465236948312,0.04518782843527538,0.0029593692036176873,0.7898550724637682,0.51537144241986,1.0,leave_one_feature_out,plddt,global_structural
